TF	Total genes	Activados	Reprimidos	Tipo	Lista de genes
ArcA	226	72	154	dual	aceA, aceB, aceE, aceF, aceK, ackA, acnA, acnB, acpP, aldA, appA, appB, appC, appX, appY, arcA, arcZ, argR, argT, betA, betB, betI, betT, cadA, cadB, caiA, caiB, caiC, caiD, caiE, caiT, carA, citC, citD, citE, citF, citG, citX, cycA, cydA, cydB, cydC, cydD, cyoA, cyoB, cyoC, cyoD, cyoE, dctA, dcuA, dcuB, dcuC, dpiA, dpiB, dppA, dsbB, fadA, fadB, fadD, fadE, fadH, fadI, fadJ, fadL, feoA, fnr, folE, fumA, fumB, fumC, gadA, gadE, gadF, gadX, gatA, gatB, gatC, gatD, gatY, gatZ, gcvB, glaH, glcA, glcB, glcC, glcD, glcE, glcF, glcG, glpA, glpB, glpC, glpD, glpE, gltA, grcA, hemA, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, hybA, hybB, hybC, hybD, hybE, hybF, hybG, hybO, icd, igaA, iraM, kdpA, kgtP, lldD, lldP, lldR, lpd, manA, mdh, micF, moeA, moeB, mqo, msrB, ndh, ndk, nudE, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, nupC, ompW, oppB, oppC, oppD, oppF, osmY, pepN, pflB, phoH, pldA, pncB, pntA, potF, pqqU, prfA, prmC, ptsG, putA, putP, puuA, puuB, puuC, puuD, puuE, puuP, puuR, pyrS, rhaT, rho, rmf, rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpoS, rpsC, rpsJ, rpsQ, rpsS, rsd, rstA, rutA, rutB, rutC, rutD, rutE, rutF, rutG, sodA, sroD, ssb, sstT, sthA, thiC, thrA, tpx, treB, treC, ubiA, ubiC, uvrA, xthA, xylR, ybdN, ybfA, ybiU, ydeA, ydgC, yeiQ, yejG, yfiF, yhgE, yhjE, yieE, yigI, yjiR, ymjE, ynaJ, yncE
ArcZ	6	1	5	dual	eptB, flhC, flhD, lrhA, mutS, rpoS
ArgP	15	14	1	dual	argO, argP, asd, dapB, dapD, dnaA, dnaN, gdhA, lysA, lysC, lysP, nrdA, nrdB, recF, yfaE
ArgR	64	13	51	dual	argA, argB, argC, argD, argE, argF, argG, argH, argI, argR, aroK, aroP, artI, artJ, artM, artP, artQ, astA, astB, astC, astD, astE, carA, carB, cvpA, dacC, dps, eutS, ftsZ, gltB, gltD, gltF, gltP, hchA, hisJ, hisL, hisM, hisP, hisQ, infB, lrp, lysO, mcaS, metY, mukE, nusA, pfkB, pnp, potF, puuB, pyrL, rbfA, rimP, rpsO, stpA, truB, waaA, yaaU, ydgI, yfcC, yffB, yhcC, ykgA, yraQ
ArrS	3	3	0	activador	cfa, gadE, gadF
ArsR	3	0	3	represor	arsB, arsC, arsR
AscG	5	0	5	represor	ascB, ascF, htpG, prpR, ybiT
AsflhD	1	0	1	represor	flhD
AsnC	4	1	3	dual	asnA, asnC, mioC, mnmG
AtoC	4	4	0	activador	atoA, atoB, atoD, atoE
AzuR	2	0	2	represor	cadA, galE
BaeR	9	9	0	activador	acrD, baeR, baeS, mdtA, mdtB, mdtC, mdtD, spy, ycaC
BasR	26	24	2	dual	arnA, arnB, arnC, arnD, arnE, arnF, arnT, csgD, csgE, csgF, csgG, cspI, dgkA, emrD, eptA, fimB, glpA, glpB, glpC, hha, putA, qseB, qseC, tomB, waaH, yrbL
BetI	4	0	4	represor	betA, betB, betI, betT
BirA	5	0	5	represor	bioA, bioB, bioC, bioD, bioF
BluR	4	0	4	represor	ariR, ycgZ, ymgA, ymgC
BolA	9	6	3	dual	csgA, csgD, csgE, csgF, csgG, fimH, mreB, mreC, mreD
BtsR	15	1	14	dual	aceE, aceF, btsT, csgA, csgB, csgC, csgD, csgE, csgF, csgG, cspC, lpd, mdh, pdhR, yobF
C0293	3	0	3	represor	fadR, hcaR, iroK
CRP	538	446	92	dual	aaeA, aaeB, aaeR, aaeX, abgR, aceA, aceB, aceE, aceF, aceK, acnA, acnB, acs, actP, aegA, aer, agaA, agaV, agaW, agp, aldA, aldB, ampD, ampE, ansB, aphA, araA, araB, araC, araD, araE, araF, araG, araH, arfB, argG, aroA, ascB, ascF, aspA, aspX, azuC, azuR, b0725, bglB, bglF, bglG, bhsA, bidA, btsT, caiA, caiB, caiC, caiD, caiE, caiF, caiT, cas1, cas2, cas3, casA, casB, casC, casD, casE, chbA, chbB, chbC, chbF, chbG, chbR, chiP, chiQ, chiZ, cirA, citC, citD, citE, citF, citG, citX, comR, cpdB, csgD, csgE, csgF, csgG, csiE, cspD, cspE, csrC, cstA, cyaA, cyaR, cycA, cyoA, cyoB, cyoC, cyoD, cyoE, cysG, dctA, dcuA, dcuB, dcuR, dgoA, dgoD, dgoK, dgoR, dgoT, dksA, dpiA, dpiB, dsdA, dsdX, ebgA, ebgC, efpL, elfA, entA, entB, entC, entD, entE, entF, entH, epd, exuR, exuT, fadD, fadH, fadL, fbaA, feaB, feaR, fecA, fecB, fecC, fecD, fecE, fepA, fiu, fixA, fixB, fixC, fixX, flhC, flhD, focA, focB, frlA, frlB, frlC, frlD, frlR, fucA, fucI, fucK, fucO, fucP, fucR, fucU, fumA, fumB, fumC, fur, gabD, gabP, gabT, gadA, gadB, gadC, gadE, gadF, gadX, galP, galS, gapA, gatA, gatB, gatC, gatD, gatY, gatZ, gcd, gcvH, gcvP, gcvT, gdhA, glaH, glcC, glgA, glgC, glgP, glgS, glpA, glpB, glpC, glpD, glpE, glpF, glpG, glpK, glpQ, glpR, glpT, glpX, gltA, gltB, gltD, gltF, gntK, gntP, gntT, gntU, gpsA, grcA, grpE, guaA, guaB, gutM, gutQ, gyrA, hflC, hflK, hflX, hfq, hicA, hicB, hlyE, hofB, hofC, hofM, hofN, hofO, hofP, hpt, htpG, hupA, hupB, hyfA, hyfB, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR, idnD, idnK, idnO, idnR, idnT, ilvB, ilvN, infB, ivbL, kbaZ, lacI, lamB, lgoD, lgoR, lhgD, lsrA, lsrB, lsrC, lsrD, lsrF, lsrG, lsrK, lsrR, lyxK, malE, malF, malG, malH, malK, malM, malS, malT, malX, malY, manX, manY, manZ, marA, marB, marR, mazE, mazF, mcaS, mdh, mdtE, mdtF, melA, melB, melR, metK, metY, mglA, mglB, mglC, mhpA, mhpB, mhpC, mhpD, mhpE, mhpF, mhpR, modA, modB, modC, mokB, mpl, mtlA, mtlD, mtlR, murP, murQ, nadC, nanA, nanC, nanE, nanK, nanM, nanQ, nanS, nanT, narQ, nfuA, nirB, nirC, nirD, nlpE, nmpC, nrdA, nrdB, nupC, nusA, ompA, ompF, ompW, ortT, osmY, oxyR, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, paaZ, patZ, pdhR, pflB, pgk, plaR, pncB, pnp, ppdD, preA, preT, priB, prpB, prpC, prpD, prpE, prpR, psiE, psuG, psuK, ptsG, purH, putP, puuB, puuC, puuD, puuE, puuR, raiA, raiZ, rbfA, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, rbsZ, relA, rhaA, rhaB, rhaD, rhaR, rhaS, rhaT, rihA, rimP, rmf, rof, rplI, rplM, rpoE, rpoS, rpsF, rpsI, rpsO, rpsR, rseA, rseB, rseC, rseD, rspA, rspB, sbmC, sdhA, sdhB, sdhC, sdhD, sdhX, secB, serA, serC, sfmA, sfsA, sgbE, sgbH, sgbU, sgcA, sgcB, sgcC, sgcE, sgcQ, sgcR, sgcX, sodA, sodB, sohB, speC, spf, spfP, srlA, srlB, srlD, srlE, srlR, sroD, sucA, sucB, sucC, sucD, tam, tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG, tnaA, tnaB, tnaC, treB, treC, trg, truB, trxA, ubiG, ugpA, ugpB, ugpC, ugpE, ugpQ, uhpT, uhpU, uidA, uidB, uidC, ulaA, ulaB, ulaC, ulaD, ulaE, ulaF, uxaA, uxaB, uxaC, uxuA, uxuB, uxuR, xseA, xylA, xylB, xylE, xylF, xylG, xylH, xylR, xylZ, yaeP, yaeQ, yahN, ybgD, ychH, yehA, yehB, yehC, yehD, yeiW, yfaE, yfcV, ygcW, ygeA, ygeW, yhgH, yiaK, yiaL, yiaM, yiaN, yiaO, yjcH, yjhG, yjhH, yjhI, ykgR, yqeF, yraH, ytfK, zraR, zraS
CRP-Sxy	1	1	0	activador	sxy
CadC	3	3	0	activador	cadA, cadB, cadC
CaiF	10	10	0	activador	caiA, caiB, caiC, caiD, caiE, caiT, fixA, fixB, fixC, fixX
Cbl	9	9	0	activador	ssuA, ssuB, ssuC, ssuD, ssuE, tauA, tauB, tauC, tauD
CdaR	10	10	0	activador	cdaR, garD, garK, garL, garP, garR, gudD, gudP, gudX, rnpB
CecR	6	1	5	dual	cecR, rhlE, ybhF, ybhG, ybhR, ybhS
ChiX	6	0	6	represor	chbC, chiP, chiQ, chiZ, dpiA, dpiB
CitR	3	0	3	represor	citR, ybdM, ybdN
ComR	1	0	1	represor	bhsA
CpxQ	3	0	3	represor	cfa, cpxP, skp
CpxR	130	77	53	dual	acrD, acs, ampH, appC, aroG, ascF, astC, atpB, atpI, bacA, baeR, baeS, bamE, btsT, carA, carB, casA, cbl, chaA, chaB, cheA, cheW, cpxA, cpxP, cpxQ, cpxR, csgA, csgB, csgC, csgD, csgE, csgF, csgG, cspA, cyaR, degP, dgcZ, dgt, dsbA, dsbC, dsbG, eamA, edd, efeU, epmB, ettA, exbB, fabZ, fadE, fadI, fdnG, feaR, fimB, focA, frc, frmB, ftnB, galP, gapC, glsA, gmhA, gpmM, gstA, hcp, hha, inaA, kbp, ldtC, ldtD, lpxA, lpxD, marA, marB, marR, matA, mdtA, mdtB, mdtC, mdtD, metC, motA, motB, motR, mscM, mtn, mzrA, nuoA, ompC, ompF, pdeB, pflB, plsB, ppiA, ppiD, psd, qmcA, rpoE, rpoH, rprA, rseA, rseB, rseC, rseD, sbmA, sdhC, shoB, skp, slt, spy, srkA, tomB, tsr, ung, xylE, yacH, yaiW, yccA, yddG, ydeE, yebE, yfaH, ygjR, yhdJ, yhdW, yibN, yidQ, yjfN, yncE, yqaE, yqjA
Cra	109	49	60	dual	aceA, aceB, aceE, aceF, aceK, acnA, adhE, aroP, betA, betB, betI, betT, crp, csgD, csgE, csgF, csgG, cydA, cydB, cysG, eda, edd, eno, envC, epd, fbaA, fbaB, fbp, fruA, fruB, fruK, fumD, gapA, glcC, gpmM, hypF, icd, lpd, marA, marB, marR, mdtA, metE, mpl, msrB, nikA, nikB, nikC, nikD, nikE, nikR, nirB, nirC, nirD, nrdE, nrdF, nrdH, nrdI, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, pck, pdeL, pdhR, pfkA, pgk, php, poxB, ppc, ppsA, ppsR, prpB, prpC, prpD, prpE, pykF, raiA, setA, sgrS, sgrT, ssuA, ssuB, ssuC, ssuD, ssuE, tmaR, tpiA, treB, treC, ychE, yeaC, yeaD, yhfS, yhfT, yhfU, yhfW, yhfX, yibQ, zwf
CreB	16	12	4	dual	ackA, cbrA, cbrB, cpdA, creD, malE, malF, malG, malH, nudF, parE, pta, recG, talA, yqiA, yqiB
CsgD	28	13	15	dual	csgA, csgB, csgC, csgD, csgE, csgF, csgG, csgI, dgcC, flgM, flgN, fliA, fliE, fliF, fliG, fliH, fliI, fliJ, fliK, fliZ, iraP, nlpA, pepD, tcyJ, ubiT, wrbA, yccJ, yhbS
CspA	2	2	0	activador	gyrA, hns
CsqR	5	0	5	represor	csqR, yihS, yihT, yihU, yihV
CsrA	16	6	10	dual	gadA, gadB, gadC, gadE, idlP, iraD, moaA, moaB, moaC, moaD, moaE, rpoE, ydeO, ymdA, ytiC, ytiD
CueR	9	2	7	dual	copA, cueO, moaA, moaB, moaC, moaD, moaE, rmf, rsd
CusR	14	14	0	activador	cusA, cusB, cusC, cusF, cusR, cusS, cyoA, cyoB, cyoC, cyoD, cyoE, hiuH, msrP, msrQ
CyaR	9	0	9	represor	hdeD, luxS, nadE, ompX, rpoS, yacL, yliM, yobF, yqaE
CynR	4	3	1	dual	cynR, cynS, cynT, cynX
CysB	33	26	7	dual	ariR, cbl, cysA, cysB, cysC, cysD, cysH, cysI, cysJ, cysK, cysM, cysN, cysP, cysU, cysW, dgcZ, hslJ, ssuA, ssuB, ssuC, ssuD, ssuE, tauA, tauB, tauC, tauD, tcyJ, tcyP, ybdN, yciW, yfbR, ygeH, yoaC
CytR	14	0	14	represor	aphA, cdd, cytR, deoA, deoB, deoC, deoD, nupC, nupG, ppiA, rpoH, tsx, udp, ycdZ
Dan	4	4	0	activador	ttdA, ttdB, ttdR, ttdT
DcuR	13	13	0	activador	aspA, aspX, dctA, dcuA, dcuB, dpiA, dpiB, frdA, frdB, frdC, frdD, fumB, pck
DeaD	1	1	0	activador	ldtD
DecR	2	2	0	activador	cyuA, cyuP
DeoR	6	0	6	represor	deoA, deoB, deoC, deoD, nupG, tsx
DgoR	5	0	5	represor	dgoA, dgoD, dgoK, dgoR, dgoT
DhaR	4	3	1	dual	dhaK, dhaL, dhaM, dhaR
DicA	9	1	8	dual	dicA, dicB, dicC, insD7, intQ, ydfD, ydfE, ydfW, ydfX
DicD	3	0	3	represor	dicA, dicB, dicC
DicF	4	0	4	represor	ftsZ, manX, pykA, xylR
DinJ-YafQ	3	0	3	represor	cspE, dinJ, yafQ
DksA	158	41	117	dual	alaT, alaU, alaV, argI, csrA, csrB, csrC, dksA, dnaG, dsrA, dusB, fabD, fabG, fabH, fadR, fimB, fis, flu, folK, fusA, gltT, gltU, gltV, gltW, gluQ, hisA, hisB, hisC, hisD, hisF, hisG, hisH, hisI, hisL, hlyE, hmp, idlP, ihfA, ihfB, ileT, ileU, ileV, infC, iraD, iraP, isrC, livJ, mutM, obgE, pcnB, pheM, pheS, pheT, recG, rimM, rplA, rplB, rplC, rplD, rplE, rplF, rplJ, rplK, rplL, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rpmD, rpmG, rpmI, rpmJ, rpoA, rpoB, rpoC, rpoD, rpoE, rpoS, rpoZ, rpsA, rpsC, rpsD, rpsE, rpsG, rpsH, rpsI, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsP, rpsQ, rpsS, rpsT, rpsU, rrfA, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rseA, rseB, rseC, rybB, secY, setA, sgrR, sgrS, sgrT, spoT, sroA, talA, thiB, thiP, thiQ, thrA, thrB, thrC, thrL, thrS, thrV, tktB, trmD, trmH, tufA, yhbE, ytiC, ytiD
DnaA	12	1	11	dual	aldA, guaA, guaB, idlP, iraD, polA, recN, rpoH, uvrB, yjeV, ytiC, ytiD
DpiA	11	10	1	dual	appY, citC, citD, citE, citF, citG, citX, dpiA, dpiB, exuT, mdh
DsdC	1	1	0	activador	dsdA
DsrA	10	1	9	dual	hns, lrp, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, rbsZ, rpoS
EbgR	2	0	2	represor	ebgA, ebgC
EnvR	2	0	2	represor	acrA, acrB
EnvY	2	2	0	activador	ompC, ompF
EvgA	21	21	0	activador	G7121, acrD, emrK, emrY, evgA, evgL, evgS, frc, gadE, gadF, mdtE, mdtF, oxc, safA, ydeO, ydeP, yegR, yegZ, yfdE, yfdV, yfdX
ExuR	10	0	10	represor	exuR, exuT, lgoD, lgoR, uxaA, uxaB, uxaC, uxuA, uxuB, uxuR
FNR	310	204	106	dual	ackA, acnA, acrE, acrF, adhE, aer, aldA, ansB, argK, aroP, aspA, aspX, b0725, bcsB, bcsZ, bidA, cadC, caiA, caiB, caiC, caiD, caiE, caiF, caiT, ccmA, ccmB, ccmC, ccmD, ccmE, ccmF, ccmG, ccmH, ccp, cheB, cheR, cheY, cheZ, citC, citD, citE, citF, citG, citX, cydC, cydD, cyoA, cyoB, cyoC, cyoD, cyoE, cysG, dcuA, dcuB, dcuC, dcuR, dcuS, dmsA, dmsB, dmsC, dmsD, dpiA, dpiB, dppA, dppB, dppC, dppD, dppF, emrK, emrY, entF, fdhF, feoA, feoB, feoC, fepE, fes, fhlA, fixA, fixB, fixC, fixX, fnrS, focA, focB, frdA, frdB, frdC, frdD, fumA, fumB, fumC, gadA, gadW, gadX, gapC, garD, garK, garL, garP, garR, gcvH, gcvP, gcvT, gdhA, glpA, glpB, glpC, glpQ, glpT, gltB, gltD, gltF, gnd, gndA, hcp, hcr, hemA, hlyE, hmp, hyfA, hyfB, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR, hypB, hypC, hypD, hypE, idlP, iraD, iraM, katG, malP, malQ, metV, mltA, moaA, moaB, moaC, moaD, moaE, moeA, moeB, msrB, nac, napA, napB, napC, napD, napF, napG, napH, narG, narH, narI, narJ, narK, narL, narS, narX, ndh, nfeR, nikA, nikB, nikC, nikD, nikE, nikR, nirB, nirC, nirD, norV, norW, nrdD, nrdG, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, ompX, ortT, pdeF, pepT, pflB, pheM, phoU, pitA, poxB, prfA, prmC, pstA, pstB, pstC, pstS, purM, purN, puuA, puuP, pykA, ravA, rimM, rnpB, rplB, rplC, rplD, rplM, rplP, rplS, rplT, rplV, rplW, rpmC, rpsC, rpsI, rpsJ, rpsP, rpsQ, rpsS, scpA, scpB, scpC, sdhA, sdhB, sdhC, sdhD, sdhX, sodA, soxR, soxS, ssuA, ssuB, ssuC, ssuD, ssuE, sucA, sucB, sucC, sucD, tap, tar, tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG, thrA, tpx, trmD, ubiA, ubiC, ung, upp, uraA, uxaA, uxaC, viaA, xdhA, xdhB, xdhC, ybdN, ybdZ, ycaC, ychO, ydeJ, ydfO, ydfZ, ydhT, ydhU, ydhV, ydhW, ydhX, ydhY, yecR, yeiL, yfcZ, yffS, ygbA, yibN, ymjE, ynfE, ynfF, ynfG, ynfH, ysgA, ytfE, zwf
FabR	2	0	2	represor	fabA, fabB
FadR	23	12	11	dual	accA, accB, accC, accD, fabA, fabB, fabD, fabG, fabH, fabI, fadA, fadB, fadD, fadE, fadH, fadI, fadJ, fadL, fadM, fadR, iclR, sroD, uspA
FeaR	2	2	0	activador	feaB, tynA
FhlA	30	30	0	activador	fdhF, fhlA, focB, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hycI, hydN, hyfA, hyfB, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR, hypA, hypB, hypC, hypD, hypE, hypF
FimR2	5	1	4	dual	fliG, fliI, fliJ, fliR, hofQ
FimZ	5	5	0	activador	puuB, puuC, puuD, sfmA, sfmC
Fis	242	157	85	dual	acnB, acs, actP, adhE, alaT, alaU, alaV, alaW, alaX, aldB, ansB, apaG, apaH, argU, argW, argX, aspV, bglB, bglF, bglG, carA, carB, cbpA, cbpM, crp, cspA, cspI, cyoA, cyoB, cyoC, cyoD, cyoE, cysG, deoA, deoB, deoC, deoD, dmsA, dmsB, dmsC, dnaA, dnaN, dps, dusB, fadA, fadB, fimA, fimC, fimD, fimF, fimG, fimH, fimI, fimR2, fis, flxA, fumB, gadA, gadB, gadC, gadX, glcC, glnA, glnG, glnL, glnQ, glnU, glnV, glnW, glnX, glnZ, glpA, glpB, glpC, glpQ, glpT, gltT, gltU, gltV, gltW, gltX, glyT, glyU, grcA, guaA, guaB, gyrA, gyrB, hisR, hlyE, hns, hupA, hupB, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, ileT, ileU, ileV, infB, katE, leuP, leuQ, leuT, leuV, leuW, leuX, lpd, lysT, lysV, lysW, malE, malF, malG, malH, marA, marB, marR, mazE, mazF, mazG, metT, metU, metY, mglA, mglC, msrA, mtlA, mtlD, mtlR, nanA, nanE, nanK, nanQ, nanT, narG, narH, narI, narJ, narK, narS, nirB, nirC, nirD, nrdA, nrdB, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, nusA, ogt, osmE, osmY, pdxA, pflB, pheU, pheV, pnp, proK, proL, proM, proP, pyrD, queA, rbfA, recF, rimP, rplM, rpsI, rpsO, rrfA, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rsmA, serT, serX, sra, thrT, thrU, thrV, thrW, tolB, tpr, trg, trmA, truB, tufB, tyrT, tyrU, tyrV, valT, valU, valX, valY, xylF, xylG, xylH, xylR, yeaR, yfaE, yjcH, yoaG, yodD
FlhDC	93	89	4	dual	aceB, adhE, ccmA, ccmB, ccmC, ccmD, ccmE, ccmF, ccmG, ccmH, clsC, csgC, epd, flgA, flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ, flgM, flgN, flhA, flhB, flhE, fliA, fliD, fliE, fliF, fliG, fliH, fliI, fliJ, fliK, fliL, fliM, fliN, fliO, fliP, fliQ, fliR, fliS, fliT, fliZ, fruB, glpA, glpB, glpC, gltI, gltJ, gltK, gltL, hydN, hypF, iclR, mdh, mglA, mglB, mglC, napA, napB, napC, napD, napF, napG, napH, nfrB, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, pdeH, pfkA, ppdA, ppdB, ppdC, ptsH, recC, setB, sroC, tcyJ, ycgR, yecR, ygbK, ygdB, ymdA, ymdB
FliX	12	0	12	represor	fliC, rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpsC, rpsJ, rpsQ, rpsS
FliZ	22	0	22	represor	csgA, csgB, csgC, csgD, csgE, csgF, csgG, flhC, flhD, gadB, gadC, gadE, gadF, hdeA, hdeB, mdtE, mdtF, mlrA, osmY, pdeR, yhiD, yjbJ
FnrS	20	0	20	represor	azuC, azuR, cydC, cydD, folE, folX, glpD, gpmA, iscR, maeA, marA, metE, sodA, sodB, yebY, yebZ, yeiB, yfcH, yieP, yobA
FrlR	5	0	5	represor	frlA, frlB, frlC, frlD, frlR
FrmR	3	0	3	represor	frmA, frmB, frmR
FucR	7	7	0	activador	fucA, fucI, fucK, fucO, fucP, fucR, fucU
Fur	269	77	192	dual	acnA, actP, adhP, adk, ansB, araB, araF, argF, argG, argR, aspC, b0725, bfd, bfr, bglJ, bssR, cadC, cirA, cusC, cyoA, cyoB, cyoC, cyoD, cyoE, dapB, dinB, dkgA, dmsA, dmsB, dmsC, dppB, dppC, dppD, dppF, eamA, efeB, efeO, efeU, entA, entB, entC, entD, entE, entF, entH, erpA, esrE, exbB, exbD, fecA, fecB, fecC, fecD, fecE, fecI, fecR, feoA, feoB, feoC, fepA, fepB, fepC, fepD, fepE, fepG, fes, fhuA, fhuB, fhuC, fhuD, fhuE, fhuF, fiu, flgL, flhC, flhD, fnr, ftnA, ftnB, fumB, fumC, fur, garK, garL, garP, garR, glnD, glnG, glnL, glpF, glpK, gltB, gltD, gltF, gnd, gndA, gpmA, gpr, grcA, grxB, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gspO, hcaR, hmp, hscA, hybO, katE, katG, leuD, lysP, maeB, manX, manY, manZ, map, mdh, mdtL, metH, metJ, mglB, mntH, mntP, mntS, moaA, mocA, mqo, nac, narQ, narU, ndh, nfeF, nfeR, nohA, nrdE, nrdF, nrdH, nrdI, nth, ompF, ompW, oppA, oppB, oppC, oppD, ortT, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, pdeF, pepE, phoH, pqqU, pstB, punC, purL, purR, pyrC, qorA, rcnA, rcnB, recN, rimK, rimO, rmf, rmuC, rnpB, rpoS, rsd, rsxA, rsxB, rsxC, rsxD, rsxE, rsxG, ryhB, sdhX, sdiA, selO, serS, sodA, soxR, soxS, sseB, stfQ, sucA, sucB, sucC, sucD, sufA, sufB, sufC, sufD, sufE, sufS, sulA, tauA, tauB, tauC, tcyN, tfaQ, tisB, tqsA, tsx, udp, ugpA, ugpB, ugpE, uxaB, uxaC, uxuA, uxuB, waaL, xynR, ybaN, ybdZ, ybiU, ybiX, ycgR, yciI, ydcF, yddA, yddB, ydeN, ydiE, yejG, yfcV, ygaC, yghF, yghW, yhcC, yhhY, yhjE, yihN, yihX, yjbJ, yjcH, yjiR, yjiT, yjjZ, yncE, ynfD, yobD, yoeA, yojI, yqeB, yqeC, yqhD, yrbL, zapB, zinT, zwf
GadE	34	34	0	activador	cyoA, cyoB, cyoC, cyoD, cyoE, fabZ, fliC, fliX, gadB, gadC, gadE, gadF, gadW, gadX, gltB, gltD, gltF, gnd, gndA, hdeA, hdeB, hdeD, lpxA, lpxD, lrp, mdtE, mdtF, purA, rcsA, skp, yhiD, yhiM, yjbQ, yjbR
GadRcs	9	9	0	activador	adiC, aslB, cadA, cadB, dctR, gadA, gadX, slp, yhiM
GadW	8	4	4	dual	dctR, gadE, gadF, gadW, gadY, mdtE, mdtF, slp
GadX	30	23	7	dual	amtB, asnB, btuB, cadA, cadB, dctR, dtpA, gadA, gadB, gadC, gadE, gadF, gadX, gadY, glnK, glsA, hdeD, hns, lon, mdtE, mdtF, murI, rpoS, slp, speG, uspE, ybaT, ydeM, ydeN, ynfB
GadY	2	2	0	activador	gadW, gadX
GalR	6	0	6	represor	galP, galR, galS, mglA, mglB, mglC
GalS	6	0	6	represor	galP, galR, galS, mglA, mglB, mglC
GatR	6	0	6	represor	gatA, gatB, gatC, gatD, gatY, gatZ
GcvA	2	1	1	dual	gcvA, gcvB
